問題,解答,イラストファイル名,イラスト内容説明
"日の出と日の入りのようすを表しているものは、それぞれどれですか。 (選択肢: ア. 地平線- 日の出 ウ. 日の入り)",アが日の出、ウが日の入り,日の出と日の入りの図.png,"太陽が地平線に出入りする様子を示す図"
"太陽が真南にきたときを何といいますか。",南中,,
"「太陽が真南にくる時刻は、 A の地方ほど早く, B の地方ほどおそくなります。」A, Bにあてはまるのは、西東のどちらですか。",A:東, B:西,,
"1年のうちで、昼の長さが最も長い日があるのは何月ですか。",6月,,
"1年のうちで、昼の長さが最も短い日があるのは何月ですか。",12月,,
"1年のうちで、昼と夜の長さがほぼ同じになる日は、何回ありますか。",2回,,
"昼と夜の長さがほぼ同じになる日を何といいますか。すべて答えなさい。",春分、秋分,,
"太陽の位置は、何と何で表しますか。",方位と高度,,
"太陽の位置を地面に立てた棒の影からも調べることができます。影が1日のうちで最も短くなるときを何といいますか。また、そのとき、影の先はどの方位を向いていますか。",南中、真北,棒の影の図.png,"地面に立てた棒と影の様子を示す図"
"1日のうちで、地面にできる棒の影は、どの方位からどの方位に動きますか。",西から東,,
"右図は、影の1年の変化をまとめたものです。太陽が真南にきたときの影の長さが、季節によってちがうのはなぜですか。(選択肢: ア 南中高度が季節によってちがうから。 イ 日の出・日の入りの方位が季節によってちがうから。 ウ 日の出・日の入りの時刻が季節によってちがうから。)",ア,影の季節変化の図.png,"棒の影の先の動きの1年の変化を示す図"
"(図)で、太陽は ・ のどちら向きに動いていましたか。記号で答えなさい。",→,太陽の位置グラフ.png,"5月のある日の太陽の位置を時間おきに示したグラフ"
"[問1] で答えたように太陽が動いて見える理由として正しいものを、下の(ア)~(ウ)から選び、記号で答えなさい。 (選択肢: (ア) 太陽が地球のまわりを、東から西へ公転しているから。 (イ) 地球が太陽のまわりを、西から東へ公転しているから。 (ウ) 地球が、西から東へ自転しているから。)",(ウ),,
"太陽が真南にくることを何といいますか。ことばで答えなさい。",南中,,
"東京での太陽の動きについて、まちがっているものはどれですか。下から選び、記号で答えなさい。 (選択肢: (ア) 太陽が真南にきたとき、1日の中で最も高度が高くなる。 (イ) 太陽が真南にくるのは、正午よりあとになる。 (ウ) 太陽の光でできる影は、正午よりも日の出や日の入りに近いころの方が 長い。 (エ) 太陽が出ている時間は、夏よりも冬の方が短い。)",(イ),,
"(表)で、昼と夜の長さがほぼ同じ日はどれですか。A~Dから2つ選び、記号で答えなさい。また、その日を何といいますか。それぞれことばで答えなさい。",A, C、春分、秋分,日の出・日の入り時刻表.png,"1年の中で特徴のある4つの日の日の出・日の入り時刻をまとめた表"
"(表)で、昼が最も長い日と最も短い日の昼の長さは、何時間何分ですか。それぞれ数字で答えなさい。",長い: 14時間35分, 短い: 9時間45分,日の出・日の入り時刻表.png,"1年の中で特徴のある4つの日の日の出・日の入り時刻をまとめた表"
"(図)で、①と②はどの方角を表していますか。それぞれ東・西・南・北の漢字1字で答えなさい。",あ: 北, え: 西,棒の影の先の動きの図.png,"地面に垂直に立てた棒の影の先の動きを示す図"
"(図)を記録したのは、(表)のA~Dのどの日ですか。あてはまるものをすべて選び、記号で答えなさい。",A, C,棒の影の先の動きの図.png,"地面に垂直に立てた棒の影の先の動きを示す図"
"(図1)の の方角は、どれですか。下から選び、記号で答えなさい。 (選択肢: (ア) 南東 (イ)南 (ウ) 南西 (エ) 北東 (オ)北 (カ) 北西)",(オ),棒と影の図1.png,"太陽が最も高くなったときの棒と影の様子を示す図"
"(図1)のときの棒と影の長さをちぢめてうつしとり、できた三角形の3つの角の角度を分度器ではかると、(図2) のようになりました。これから、(図1)のときの太陽高度は何度とわかりますか。数字で答えなさい。",55,棒と影の図1と図2.png,"棒と影の様子を示す図(図1)とその角度を示した図(図2)"
"大阪に住んでいる四谷君のいとこが、(図1) と同じように棒の影を調べたとき、太陽が最も高くなったときの時刻は、東京とくらべてどのようになっていましたか。下から選び、記号で答えなさい。 (選択肢: (ア) 東京と同じ時刻だった。 (イ) 東京よりもおそかった。 (ウ) 東京よりも早かった。)",(イ),,
"(図1)のあと、時間がたつにつれて、棒の影がどのように変化するのかを調べました。下の文は、このときの結果をまとめたものです。文中の(①~③)にあてはまることばを(ア)~(カ)から選び、それぞれ記号で答えなさい。 「太陽が(①)へと動いていくので、影ののびる方向は (②) へ動き、それにつれて長さは (③) なっていきます。」 (選択肢: (ア)東 (イ)西 (ウ) 南 (エ) 北 (オ)長く (カ)短く)",①:(イ), ②:(ア), ③:(オ),,
"(図1) のA~Cのうち、冬至の日の太陽の光を表しているのはどれですか。記号で答えなさい。",C,窓から差し込む太陽の光の図1.png,"春分・夏至・冬至の日に窓から部屋に差し込む太陽の光の様子を示す図"
"(図2) のP~Rのうち、夏至の日の太陽の道すじを表しているのはどれですか。記号で答えなさい。",P,太陽の道すじの図2.png,"日本のある地点での春分・夏至・冬至の日の太陽の道すじを示す図"
"冬至の日の、日の出のしゅん間のようすとして正しいのはどれですか。下から選び、記号で答えなさい。",(ウ),日の出の様子の選択肢図.png,"冬至の日の日の出の瞬間を示す複数の図（選択肢）"
"(図3)は、(図2)を記録した地点の1年間の日の出と日の入りの時刻を表しています。X・Yのうち、日の出のグラフはどちらですか。",Y,日の出と日の入り時刻グラフ_図3.png,"1年間の日の出と日の入りの時刻を示すグラフ"
"1年の中で昼の長さが最も長い月があるのは あ~え のうちどの月ですか。記号で答えなさい。",い,日の出と日の入り時刻グラフ_図3.png,"1年間の日の出と日の入り時刻を示すグラフ"
"太陽が(図2) のP・Rの道すじを通るのは、あ~え のうちどの月ですか。それぞれ記号で答えなさい。",P:い, R:え,日の出と日の入り時刻グラフ_図3.png,"1年間の日の出と日の入りの時刻を示すグラフ"
